Source , Target , Score
MT512436.1 , MT512425.1 , 168193.0
MT344948.1 , MT512425.1 , 168198.0
MT520213.1 , MT512425.1 , 167134.0
MT438753.1 , MT512425.1 , 168192.0
MT123291.2 , MT512425.1 , 168198.0
MT512425.1 , MT512425.1 , 168305.0
MT293197.1 , MT512425.1 , 166671.0
MT375438.1 , MT512425.1 , 167998.0
MT512436.1 , MT123291.2 , 168215.0
MT520213.1 , MT123291.2 , 167170.0
MT438753.1 , MT123291.2 , 168214.0
MT344948.1 , MT123291.2 , 168220.0
MT512425.1 , MT123291.2 , 168198.0
MT375438.1 , MT123291.2 , 168046.0
MT123291.2 , MT123291.2 , 168295.0
MT293197.1 , MT123291.2 , 166707.0
MT438753.1 , MT375438.1 , 168014.0
MT512436.1 , MT375438.1 , 168067.0
MT520213.1 , MT375438.1 , 167187.0
MT344948.1 , MT375438.1 , 168072.0
MT375438.1 , MT375438.1 , 168183.0
MT512425.1 , MT375438.1 , 167998.0
MT123291.2 , MT375438.1 , 168046.0
MT293197.1 , MT375438.1 , 166743.0
MT438753.1 , MT520213.1 , 167182.0
MT512436.1 , MT520213.1 , 167203.0
MT520213.1 , MT520213.1 , 168047.0
MT344948.1 , MT520213.1 , 167208.0
MT375438.1 , MT520213.1 , 167187.0
MT512425.1 , MT520213.1 , 167134.0
MT123291.2 , MT520213.1 , 167170.0
MT293197.1 , MT520213.1 , 165985.0
MT438753.1 , MT438753.1 , 168268.0
MT520213.1 , MT438753.1 , 167182.0
MT512436.1 , MT438753.1 , 168209.0
MT344948.1 , MT438753.1 , 168214.0
MT375438.1 , MT438753.1 , 168014.0
MT512425.1 , MT438753.1 , 168192.0
MT123291.2 , MT438753.1 , 168214.0
MT293197.1 , MT438753.1 , 166719.0
MT438753.1 , MT344948.1 , 168214.0
MT520213.1 , MT344948.1 , 167208.0
MT512436.1 , MT344948.1 , 168267.0
MT344948.1 , MT344948.1 , 168296.0
MT375438.1 , MT344948.1 , 168072.0
MT512425.1 , MT344948.1 , 168198.0
MT123291.2 , MT344948.1 , 168220.0
MT293197.1 , MT344948.1 , 166740.0
MT520213.1 , MT512436.1 , 167203.0
MT438753.1 , MT512436.1 , 168209.0
MT512436.1 , MT512436.1 , 168297.0
MT344948.1 , MT512436.1 , 168267.0
MT375438.1 , MT512436.1 , 168067.0
MT123291.2 , MT512436.1 , 168215.0
MT512425.1 , MT512436.1 , 168193.0
MT293197.1 , MT512436.1 , 166735.0
MT438753.1 , MT293197.1 , 166719.0
MT520213.1 , MT293197.1 , 165985.0
MT512436.1 , MT293197.1 , 166735.0
MT344948.1 , MT293197.1 , 166740.0
MT375438.1 , MT293197.1 , 166743.0
MT123291.2 , MT293197.1 , 166707.0
MT512425.1 , MT293197.1 , 166671.0
MT293197.1 , MT293197.1 , 166768.0
MT520213.1 , MT358735.1 , 167200.0
MT512436.1 , MT358735.1 , 168060.0
MT438753.1 , MT358735.1 , 168007.0
